ID;kvartal;bil;buss;sykkel;gange
Til Kroken Morgen;2019-3;30,01848576558435;9,811830233654524;0,13053429095240493;4,718
Til Kroken Morgen;2019-4;37,568098560194535;12,432374625205128;0,20118413919464584;4,997
Til Kroken Morgen;2020-1;33,741074405464005;12,959856588795244;0,15899129246593494;5,384
Til Kroken Morgen;2020-2;31,904822607873378;11,93555068962489;0,2125082913755387;5,135
Til Kroken Morgen;2020-3;33,301650539023555;16,20356231866865;0,18031588265361792;5,41
Til Kroken Morgen;2020-4;50,59244982261505;18,94976153160394;0,12454368742739289;6,052
Til Kroken Morgen;2021-1;40,93239373346029;18,646088859890064;0,14375853448401943;5,594
Til Kroken Morgen;2021-2;43,162997365500374;16,034746635970194;0,3724164602333129;6,017
Til Kroken Morgen;2021-3;30,410000038286604;12,952472489826134;0,37013025948234224;4,568
Til Kroken Morgen;2021-4;29,917303103705965;12,899539765286004;0,20997986769415192;4,548
Til Kroken Morgen;2022-1;28,10792038536017;12,053635761250364;0,14974827468247948;3,067
Til Kroken Morgen;2022-2;31,287037133832612;14,600029172620358;0,3843235115397201;3,863
Til Kroken Morgen;2022-3;23,508878828082782;10,182633133133914;0,3719647041907728;2,322
Til Kroken Morgen;2022-4;37,232719047311946;16,76762116152613;0,3621297398129846;4,947
Til Kroken Morgen;2023-1;29,4940594289703;14,13427398230975;0,29156803986293256;5,247
Til Kroken Morgen;2023-2;29,633668420764362;14,069583371481288;0,5314861833017167;4,01
Til Kroken Morgen;2023-3;29,509003594992155;11,16524325593365;0,5826052949896754;3,02
Til Kroken Morgen;2023-4;31,3524477909822;13,404881915328657;0,2971878709704067;3,021
Til Kroken Morgen;2024-1;28,412536237167753;14,655402278305047;0,3498552714299827;3,501
Til Kroken Morgen;2024-2;31,746587903423666;14,152676352123894;0,5101148932893874;4,217
Til Kroken Morgen;2024-3;32,62424375661555;13,164176281739563;0,5756938395781094;3,062
Til Kroken Morgen;2024-4;29,800436952526216;14,803576299248355;0,2765693223484494;3,706
Til Kroken Morgen;2025-1;27,31820503188898;15,426013860265305;0,26281808875170803;4,462
Til Kroken Morgen;2025-2;29,119956320794117;12,566375627243174;0,48742688985238497;2,52
Til Kvaløysletta Morgen;2019-1;57,023120972506085;19,330765356315712;0,7344762531919504;8,404
Til Kvaløysletta Morgen;2019-2;68,27786473844553;22,359457558910073;0,6909431288388184;8,401
Til Kvaløysletta Morgen;2019-3;65,53994980128485;19,990191161122635;0,6361568826943583;7,414
Til Kvaløysletta Morgen;2019-4;81,73681318720297;27,463808158677807;0,516205602711005;8,677
Til Kvaløysletta Morgen;2020-1;66,55139572545248;24,765380868461644;0,4329885637607622;8,708
Til Kvaløysletta Morgen;2020-2;61,465454309180274;21,40947519136196;0,6819924403312834;6,87
Til Kvaløysletta Morgen;2020-3;73,95837035408208;20,64608669969184;0,6688545490578482;6,239
Til Kvaløysletta Morgen;2020-4;77,5469355601883;27,915632199214063;0,29131408603245734;7,043
Til Kvaløysletta Morgen;2021-1;85,10107718820771;30,190217573527473;0,6901344293217755;7,593
Til Kvaløysletta Morgen;2021-2;97,75892901143774;35,876026250484735;1,2451421518606187;9,203
Til Kvaløysletta Morgen;2021-3;67,47098531268416;26,350726665287727;1,1827446156642598;5,986
