dato;klokkeslett;stop_name;tid_dag;faktisk_tid;avstand;normal_tid;ko_min_km;forsinkelser;bil
2025-12-29;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,8;
2025-12-29;15:45;Tromsø Prostneset;Ettermiddag;;;;;1,35;
2025-12-29;16:00;Tromsø Prostneset;Ettermiddag;;;;;1,2583333333333333;
2025-12-29;16:45;Tromsø Prostneset;Ettermiddag;;;;;1,1666666666666667;
2025-12-29;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,9666666666666667;
2025-12-29;15:30;Tromsø Prostneset;Ettermiddag;;;;;1,35;
2025-12-29;14:15;Tromsø Prostneset;Ettermiddag;;;;;0,6333333333333333;
2025-12-29;15:00;Tromsø Prostneset;Ettermiddag;;;;;1,35;
2025-12-29;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,6333333333333333;
2025-12-29;14:00;Tromsø Prostneset;Ettermiddag;;;;;0,35;
2025-12-29;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,3;
2025-12-30;16:45;Tromsø Prostneset;Ettermiddag;;;;;1,0;
2025-12-30;17:00;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-30;14:30;Tromsø Prostneset;Ettermiddag;;;;;1,4166666666666667;
2025-12-30;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,38333333333333336;
2025-12-30;16:15;Tromsø Prostneset;Ettermiddag;;;;;1,0666666666666667;
2025-12-30;16:00;Tromsø Prostneset;Ettermiddag;;;;;1,3166666666666667;
2025-12-30;15:30;Tromsø Prostneset;Ettermiddag;;;;;1,275;
2025-12-30;15:45;Tromsø Prostneset;Ettermiddag;;;;;1,3166666666666667;
2025-12-30;16:30;Tromsø Prostneset;Ettermiddag;;;;;1,0;
2025-12-30;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,26666666666666666;
2025-12-30;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,2;
2025-12-30;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,75;
2025-12-30;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,75;
2025-12-31;15:45;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;16:00;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;16:15;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;16:30;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;16:45;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;14:30;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;14:45;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;14:15;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;15:15;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;15:00;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-31;15:30;Tromsø Prostneset;Ettermiddag;;;;;;
2026-01-01;16:00;Tromsø Prostneset;Ettermiddag;;;;;1,7416666666666667;
2026-01-01;16:15;Tromsø Prostneset;Ettermiddag;;;;;1,7416666666666667;
2026-01-01;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,5833333333333334;
2026-01-01;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,6833333333333333;
2026-01-01;16:45;Tromsø Prostneset;Ettermiddag;;;;;1,7416666666666667;
2026-01-01;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,6916666666666669;
2026-01-02;15:45;Tromsø Prostneset;Ettermiddag;;;;;1,6666666666666667;
2026-01-02;16:00;Tromsø Prostneset;Ettermiddag;;;;;1,1833333333333333;
2026-01-02;16:15;Tromsø Prostneset;Ettermiddag;;;;;1,4333333333333333;
2026-01-02;16:30;Tromsø Prostneset;Ettermiddag;;;;;1,4333333333333333;
2026-01-02;16:45;Tromsø Prostneset;Ettermiddag;;;;;1,2833333333333334;
2026-01-02;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,1833333333333333;
2026-01-02;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,1333333333333333;
2026-01-02;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,5166666666666667;
2026-01-02;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,8666666666666667;
2026-01-02;15:30;Tromsø Prostneset;Ettermiddag;;;;;1,4666666666666666;
2026-01-02;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,15;
2026-01-02;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2026-01-03;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,058333333333333334;
2026-01-03;15:15;Tromsø Prostneset;Ettermiddag;;;;;0,08333333333333334;
2026-01-03;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,0666666666666667;
2026-01-03;14:15;Tromsø Prostneset;Ettermiddag;;;;;0,1;
2026-01-03;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,1;
2026-01-03;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,1;
2026-01-04;14:45;Tromsø Prostneset;Ettermiddag;;;;;;
2026-01-04;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,5333333333333334;
2026-01-04;16:00;Tromsø Prostneset;Ettermiddag;;;;;2,425;
2026-01-04;15:15;Tromsø Prostneset;Ettermiddag;;;;;2,6083333333333334;
2026-01-04;16:15;Tromsø Prostneset;Ettermiddag;;;;;1,9583333333333333;
2026-01-04;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,5333333333333334;
2026-01-04;15:45;Tromsø Prostneset;Ettermiddag;;;;;2,55;
2026-01-04;15:00;Tromsø Prostneset;Ettermiddag;;;;;;
2026-01-04;16:45;Tromsø Prostneset;Ettermiddag;;;;;1,9583333333333333;
2026-01-04;15:30;Tromsø Prostneset;Ettermiddag;;;;;2,55;
2026-01-04;14:30;Tromsø Prostneset;Ettermiddag;;;;;1,5333333333333334;
2026-01-04;16:30;Tromsø Prostneset;Ettermiddag;;;;;1,9583333333333333;
2026-01-05;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,45833333333333337;
2026-01-05;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,21666666666666667;
2026-01-05;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2026-01-05;15:30;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2026-01-05;15:45;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2026-01-05;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,0;
2026-01-05;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,21666666666666667;
2026-01-05;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,2083333333333335;
2026-01-05;16:00;Tromsø Prostneset;Ettermiddag;;;;;0,31666666666666665;
2026-01-05;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,625;
2026-01-05;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,7833333333333334;
2026-01-05;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,21666666666666667;
2026-01-06;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,2000000000000002;
2026-01-06;14:30;Tromsø Prostneset;Ettermiddag;;;;;1,05;
2026-01-06;14:00;Tromsø Prostneset;Ettermiddag;;;;;0,24166666666666667;
2026-01-06;14:15;Tromsø Prostneset;Ettermiddag;;;;;0,2833333333333333;
2026-01-06;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,9166666666666666;
2026-01-06;15:00;Tromsø Prostneset;Ettermiddag;;;;;1,3583333333333334;
2026-01-06;15:45;Tromsø Prostneset;Ettermiddag;;;;;0,6166666666666667;
2026-01-06;16:00;Tromsø Prostneset;Ettermiddag;;;;;0,18333333333333332;
2026-01-06;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,18333333333333332;
2026-01-06;14:45;Tromsø Prostneset;Ettermiddag;;;;;1,3583333333333334;
2026-01-06;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,18333333333333332;
2026-01-06;15:30;Tromsø Prostneset;Ettermiddag;;;;;1,2000000000000002;
2026-01-07;17:00;Tromsø Prostneset;Ettermiddag;;;;;;
2026-01-07;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,4083333333333333;
2026-01-07;16:00;Tromsø Prostneset;Ettermiddag;;;;;1,0333333333333334;
2026-01-07;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,9750000000000001;
2026-01-07;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,8583333333333334;
2026-01-07;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,9750000000000001;
2026-01-07;15:45;Tromsø Prostneset;Ettermiddag;;;;;1,0333333333333334;
2026-01-07;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,3333333333333333;
2026-01-07;15:30;Tromsø Prostneset;Ettermiddag;;;;;1,0833333333333335;
2026-01-07;16:15;Tromsø Prostneset;Ettermiddag;;;;;1,0833333333333335;
